PLANTA;SEMANA;FAMILIA;SELLADORA;CAPACIDAD
SFG MOSTAZAL;202352;ROJA;AC-301;2604,06
SFG MOSTAZAL;202352;ROJA;AC-350;4528,8
SFG MOSTAZAL;202352;ROJA;Cualquiera;7132,86
SFG MOSTAZAL;202352;AMARILLA;AC-301;360
SFG. MOLINA;202352;ROJA;AC-301;1132,2
SFG. MOLINA;202352;ROJA;AC-350;452,88
SFG. MOLINA;202352;ROJA;Cualquiera;2264,4
SFG. MOLINA;202352;AMARILLA;AC-301;180
GF MALLOA;202352;ROJA;AC-301;679,32
GF MALLOA;202352;ROJA;AC-350;2037,96
GF MALLOA;202352;ROJA;Cualquiera;2943,72
GF MALLOA;202352;AMARILLA;AC-301;360
CHAMONATE SPA;202352;ROJA;AC-301;679,32
CHAMONATE SPA;202352;ROJA;AC-350;2037,96
CHAMONATE SPA;202352;ROJA;Cualquiera;2943,72
CHAMONATE SPA;202352;AMARILLA;AC-301;360
AGRICOLA EL CARMELO;202352;ROJA;AC-301;679,32
AGRICOLA EL CARMELO;202352;ROJA;AC-350;2037,96
AGRICOLA EL CARMELO;202352;ROJA;Cualquiera;2943,72
AGRICOLA EL CARMELO;202352;AMARILLA;AC-301;360
LOS NOBLES;202352;ROJA;AC-301;679,32
LOS NOBLES;202352;ROJA;AC-350;2037,96
LOS NOBLES;202352;ROJA;Cualquiera;2943,72
LOS NOBLES;202352;AMARILLA;AC-301;360
