FORMATO;KILOS_FORMATO
C0535096CEAMGE;5
C0535096CEAMGK;5
C0535096CEAMGL;5
C0535096CEAMGR;5
C0535096CEAMGT;5
C0535096CEAMGH;5
C0535096CEMIGT;5
C0535096CEHHGE;5
C0535096CEHHGK;5
C0535096CEHHGR;5
C0535096CEHHGT;5
C0535096CEHTGE;5
C0535096CEAB16;5
C0635120CEAMG3;6
C0535100CEAMGR;5
C0535100CEAMGT;5
C0535100CEHHGE;5
C0535100CEHHGR;5
P1035140CEAMGE;10
P1035140CEAMGR;10
P1035140CEAMGL;10
P2532102CEAMGR;2,5
P2532102CEAMGE;2,5
P2532102CEHHGE;2,5
P2532102CEHHGR;2,5
P2532102CEHTGE;2,5
C0535096CEAS10;5
C0535096CEPS10;5
C4434125CEHHGR;4,4
C4434125CEHHGT;4,4
C4434125CEAMGR;4,4
C4434125CEAMGH;4,4
C4635096CEHHGR;4,6
C4635096CEAMGR;4,6
C4635096CEAMGH;4,6
C4635096CEPS10;4,6
C7246123CEHT8K;7,2
C7246123CEHT8J;7,2
C7246123CEHT8B;7,2
C7246123CEHT8C;7,2
C7246123CEMI8T;7,2
C7246123CEAT8C;7,2
C1035152CEAMGR;10
P0232087CEAMGR;2
P0232087CETSGR;2
C0546070CEAB16;5
C1035152CEHHGR;10
C0535100CEAMGK;5
C0535100CEAMGE;5
C8535133CEAMGE;8,5
