PLANTA;SEMANA;FORMATO;PORCENTAJE
SFG MOSTAZAL;202352;C0535096CEAS10;0,43
SFG. MOLINA;202352;C0535096CEAS10;0,23
GF MALLOA;202352;C0535096CEAS10;0,27
CHAMONATE SPA;202352;C0535096CEAS10;0,07
AGRICOLA EL CARMELO;202352;C0535096CEAS10;0
LOS NOBLES;202352;C0535096CEAS10;0
SFG MOSTAZAL;202352;C0546070CEAB16;1
SFG. MOLINA;202352;C0546070CEAB16;1
GF MALLOA;202352;C0546070CEAB16;1
CHAMONATE SPA;202352;C0546070CEAB16;1
AGRICOLA EL CARMELO;202352;C0546070CEAB16;0
LOS NOBLES;202352;C0546070CEAB16;0
SFG MOSTAZAL;202352;C0635120CEAMG3;0,43
SFG. MOLINA;202352;C0635120CEAMG3;0,24
GF MALLOA;202352;C0635120CEAMG3;0,33
CHAMONATE SPA;202352;C0635120CEAMG3;0
AGRICOLA EL CARMELO;202352;C0635120CEAMG3;0
LOS NOBLES;202352;C0635120CEAMG3;0
SFG MOSTAZAL;202352;C8535133CEAMGE;0,7
SFG. MOLINA;202352;C8535133CEAMGE;0,3
GF MALLOA;202352;C8535133CEAMGE;0
CHAMONATE SPA;202352;C8535133CEAMGE;0
AGRICOLA EL CARMELO;202352;C8535133CEAMGE;0
LOS NOBLES;202352;C8535133CEAMGE;0
SFG MOSTAZAL;202352;P0232087CEAMGR;0,5
SFG. MOLINA;202352;P0232087CEAMGR;0,384615385
GF MALLOA;202352;P0232087CEAMGR;0,115384615
CHAMONATE SPA;202352;P0232087CEAMGR;0
AGRICOLA EL CARMELO;202352;P0232087CEAMGR;0
LOS NOBLES;202352;P0232087CEAMGR;0
SFG MOSTAZAL;202352;P0232087CETSGR;0
SFG. MOLINA;202352;P0232087CETSGR;0
GF MALLOA;202352;P0232087CETSGR;1
CHAMONATE SPA;202352;P0232087CETSGR;0
AGRICOLA EL CARMELO;202352;P0232087CETSGR;0
LOS NOBLES;202352;P0232087CETSGR;0
SFG MOSTAZAL;202352;P2532102CEAMGR;0,45
SFG. MOLINA;202352;P2532102CEAMGR;0,3
GF MALLOA;202352;P2532102CEAMGR;0,25
CHAMONATE SPA;202352;P2532102CEAMGR;0
AGRICOLA EL CARMELO;202352;P2532102CEAMGR;0
LOS NOBLES;202352;P2532102CEAMGR;0
SFG MOSTAZAL;202352;C7246123CEAT8C;1
SFG. MOLINA;202352;C7246123CEAT8C;0
GF MALLOA;202352;C7246123CEAT8C;0
CHAMONATE SPA;202352;C7246123CEAT8C;0
AGRICOLA EL CARMELO;202352;C7246123CEAT8C;0
LOS NOBLES;202352;C7246123CEAT8C;0
