NRO_PEDIDO;SEMANA;ESPECIE;PAIS;GRUPO_VARIEDAD;FAMILIA;VIA_TRANSPORTE;FORMATO;ETIQUETA;SELLADORA;ID_CALIBRE;KILOS_MAX_PEDIDO;PUNTAJE;SFG MOSTAZAL;SFG. MOLINA;GF MALLOA;CHAMONATE SPA;LOS NOBLES;AGRICOLA EL CARMELO;Premio
1;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;GZAA;1078,539;50;0,1;0,2;0,3;0,4;0,4;0,4;0
2;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;ALTERNATIVA;Cualquiera;GWAA;0,227417768;50;0,1;0,2;0,3;0,4;0,4;0,4;0
3;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;GYAA;1,000638178;50;0,1;0,2;0,3;0,4;0,4;0,4;0
4;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;PZAA;624,1844506;50;0,1;0,2;0,3;0,4;0,4;0,4;0
5;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;ALTERNATIVA;Cualquiera;PWAA;157,0001302;50;0,1;0,2;0,3;0,4;0,4;0,4;0
6;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;PYAA;82,92788904;50;0,1;0,2;0,3;0,4;0,4;0,4;0
7;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;SZAA;2628,719704;50;0,1;0,2;0,3;0,4;0,4;0,4;0
8;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;ALTERNATIVA;Cualquiera;SWAA;711,5924697;50;0,1;0,2;0,3;0,4;0,4;0,4;0
9;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;SYAA;449,6185721;50;0,1;0,2;0,3;0,4;0,4;0,4;0
10;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;JZAA;3633,03591;50;0,1;0,2;0,3;0,4;0,4;0,4;0
11;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;ALTERNATIVA;Cualquiera;JWAA;1248,598593;50;0,1;0,2;0,3;0,4;0,4;0,4;0
12;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535100CEAMGR;PREMIUM;Cualquiera;JYAA;683,2061839;50;0,1;0,2;0,3;0,4;0,4;0,4;0
13;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535096CEAMGR;TRADICIONAL;Cualquiera;XZAA;3578,511818;50;0,1;0,2;0,3;0,4;0,4;0,4;0
14;202352;CEREZAS;LEJANO ORIENTE;BI;ROJA;MARÍTIMO;C0535096CEAMGR;TRADICIONAL;Cualquiera;XYAA;579,6696968;50;0,1;0,2;0,3;0,4;0,4;0,4;0
